1;St Pierre;Galiléen;33;64
200;Urbain V;Français;28/09/1362;19/12/1370
201;Grégoire XI;Français;30/12/1370;27/03/1378
202;Urbain VI;Italien;08/04/1378;15/10/1389
203;Boniface IX;Italien;02/11/1389;01/10/1404
204;Innocent VII;Italien;17/10/1404;06/11/1406
205;Grégoire XII;Italien;30/11/1406;04/07/1415
206;Martin V;Romain;11/11/1417;20/02/1431
207;Eugène IV;Italien;03/03/1431;23/02/1447
208;Nicolas V;Italien;06/03/1447;24/03/1455
209;Calixte III;Espagnol;08/04/1455;06/08/1458
210;Pie II;Italien;19/08/1458;15/08/1464
211;Paul II;Italien;30/08/1464;26/07/1471
212;Sixte IV;Italien;09/08/1471;12/08/1484
213;Innocent VIII;Italien;29/08/1484;25/07/1492
214;Alexandre VI;Espagnol;11/08/1492;18/08/1503
215;Pie III;Italien;22/09/1503;18/10/1503
216;Jules II;Italien;01/11/1503;21/02/1513
217;Léon X;Italien;09/03/1513;01/12/1521
218;Adrien VI;Pays Bas;09/01/1522;14/09/1523
219;Clément VII;Italien;19/11/1523;25/09/1534
220;Paul III;Romain;13/10/1534;10/11/1549
221;Jules III;Romain;07/02/1550;23/03/1555
222;Marcel II;Italien;09/04/1555;30/04/1555
223;Paul IV;Italien;23/05/1555;18/08/1559
224;Pie IV;Italien;25/12/1559;09/12/1565
225;St Pie V;Italien;07/01/1566;01/05/1572
226;Grégoire XIII;Italien;13/05/1572;10/04/1585
227;Sixte V;Italien;24/04/1585;27/08/1590
228;Urbain VII;Romain;15/09/1590;27/09/1590
229;Grégoire XIV;Italien;05/12/1590;16/10/1591
230;Innocent IX;Italien;29/10/1591;30/12/1591
231;Clément VIII;Italien;30/01/1592;03/03/1605
232;Léon XI;Italien;01/04/1605;27/04/1605
233;Paul V;Romain;16/05/1605;28/01/1621
234;Grégoire XV;Italien;09/02/1621;08/07/1623
235;Urbain VIII;Italien;06/08/1623;29/07/1644
236;Innocent X;Romain;15/09/1644;07/01/1655
237;Alexandre VII;Italien;07/04/1655;22/05/1667
238;Clément IX;Italien;20/06/1667;09/12/1669
239;Clément X;Romain;29/04/1670;22/07/1676
240;Innocent XI;Italien;21/09/1676;12/08/1689
241;Alexandre VIII;Italien;06/10/1689;01/02/1691
242;Innocent XII;Italien;12/07/1691;27/09/1700
243;Clément XI;Italien;23/11/1700;19/03/1721
244;Innocent XIII;Romain;08/05/1721;07/03/1724
245;Benoît XIII;Italien;29/05/1724;21/02/1730
246;Clément XII;Italien;12/07/1730;06/02/1740
247;Benoît XIV;Italien;17/08/1740;03/05/1758
248;Clément XIII;Italien;06/07/1758;02/02/1769
249;Clément XIV;Italien;19/05/1769;22/09/1774
250;Pie VI;Italien;15/02/1775;29/08/1799
251;Pie VII;Italien;14/03/1800;20/08/1823
252;Léon XII;Italien;28/09/1823;10/02/1829
253;Pie VIII;Italien;31/03/1829;30/11/1830
254;Grégoire XVI;Italien;02/02/1831;01/06/1846
255;Pie IX;Italien;16/06/1846;07/02/1878
256;Léon XIII;Italien;20/02/1878;20/07/1903
257;St Pie X;Italien;04/08/1903;20/08/1914
258;Benoît XV;Italien;03/09/1914;22/01/1922
259;Pie XI;Italien;06/02/1922;10/02/1939
260;Pie XII;Romain;02/03/1939;09/10/1958
261;St Jean XXIII;Italien;28/10/1958;03/06/1963
262;Paul VI;Italien;21/06/1963;06/08/1978
263;Jean Paul I;Italien;26/08/1978;28/09/1978
264;St Jean Paul II;Polonais;16/10/1978;02/04/2005
265;Benoît XVI;Allemand;19/04/2005;28/02/2013
266;François;Argentin;13/03/2013;2018;
